state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,01-01-2019,2100,2100,2100
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,04-01-2019,1850,2150,2000
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,05-01-2019,1900,2150,2025
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,09-01-2019,1900,2225,2062
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,10-01-2019,2150,2150,2150
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,14-01-2019,2000,2151,2075
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,15-01-2019,2000,2151,2075
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,16-01-2019,1925,1995,1960
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,17-01-2019,2000,2000,2000
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,21-01-2019,1990,1990,1990
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,28-01-2019,1990,1990,1990
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,29-01-2019,1900,2200,2050
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,07-02-2019,1950,2325,2137
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,08-02-2019,1995,2400,2200
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,14-02-2019,1990,2450,2220
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,20-02-2019,2051,2351,2201
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,21-02-2019,1970,1970,1970
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,27-02-2019,1900,2200,2050
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,05-03-2019,1950,2100,2025
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,08-03-2019,1975,2081,2028
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,11-03-2019,2100,2100,2100
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,13-03-2019,1900,1900,1900
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,15-03-2019,1900,1931,1925
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,19-03-2019,1900,1911,1905
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,22-03-2019,1875,1875,1875
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,25-03-2019,1875,1911,1900
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,26-03-2019,1825,1825,1825
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,27-03-2019,1821,1900,1861
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,29-03-2019,1911,2100,2000
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,02-04-2019,1800,1800,1800
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,04-04-2019,1811,2090,1951
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,05-04-2019,1775,1875,1831
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,08-04-2019,2031,2031,2031
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,15-04-2019,1800,2200,2000
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,18-04-2019,1911,2000,1956
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,22-04-2019,2112,2112,2112
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,24-04-2019,1821,1825,1823
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,25-04-2019,2200,2400,2300
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,26-04-2019,1775,1775,1775
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,29-04-2019,1821,1821,1821
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,04-05-2019,1821,1880,1850
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,10-05-2019,1935,2175,2055
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,11-05-2019,1841,1841,1841
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,17-05-2019,1865,1865,1865
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,20-05-2019,1800,2350,2075
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,22-05-2019,1900,1900,1900
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,24-05-2019,2300,2300,2300
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,29-05-2019,1925,1925,1925
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,30-05-2019,2031,2031,2031
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,31-05-2019,1921,2400,2161
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,01-06-2019,1950,2425,2187
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,03-06-2019,1921,1921,1921
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,07-06-2019,1915,2250,2082
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,10-06-2019,1921,2400,2160
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,14-06-2019,2390,2580,2485
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,15-06-2019,1950,2175,2062
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,17-06-2019,1950,2250,2100
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,18-06-2019,1900,1900,1900
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,19-06-2019,2229,2229,2229
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,21-06-2019,1911,2051,1981
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,22-06-2019,1911,1915,1913
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,24-06-2019,1911,1911,1911
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,25-06-2019,1891,1931,1911
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,28-06-2019,1911,1911,1911
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,01-07-2019,1911,2150,2030
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,02-07-2019,2300,2600,2450
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,05-07-2019,1899,2050,1974
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,06-07-2019,1925,2111,2018
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,08-07-2019,2121,2121,2121
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,09-07-2019,1931,1931,1931
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,10-07-2019,1935,1941,1938
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,13-07-2019,1900,1950,1925
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,15-07-2019,1921,1921,1921
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,16-07-2019,1961,1961,1961
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,17-07-2019,1925,2150,2037
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,18-07-2019,1961,2001,1981
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,19-07-2019,1921,2051,1986
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,22-07-2019,2205,2499,2352
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,23-07-2019,2225,2500,2362
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,24-07-2019,2200,2350,2275
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,25-07-2019,1921,2258,2089
Maharashtra,Ahmednagar,Ahmednagar,Wheat,Other,26-07-2019,1921,2041,1981
Maharashtra,Ahmednagar,Jamkhed,Wheat,Maharashtra 2189,02-04-2019,2000,2200,2100
Maharashtra,Ahmednagar,Jamkhed,Wheat,Maharashtra 2189,09-04-2019,2000,2200,2100
Maharashtra,Ahmednagar,Jamkhed,Wheat,Maharashtra 2189,20-04-2019,2200,2500,2350
Maharashtra,Ahmednagar,Jamkhed,Wheat,Maharashtra 2189,27-04-2019,2200,2400,2300
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,03-01-2019,1700,1900,1800
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,05-01-2019,1800,2000,1900
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,12-01-2019,2000,2400,2200
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,19-01-2019,2000,2200,2100
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,24-01-2019,2000,2500,2250
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,28-01-2019,2000,2200,2100
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,31-01-2019,1700,2000,1850
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,01-02-2019,1800,2400,2100
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,11-02-2019,1800,2200,2000
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,12-02-2019,2000,2300,2150
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,15-02-2019,2000,2300,2150
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,21-02-2019,2000,2300,2150
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,02-03-2019,1700,1900,1800
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,09-03-2019,1900,2100,2000
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,14-03-2019,1900,2300,2100
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,15-03-2019,1900,2300,2100
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,26-03-2019,1900,2200,2050
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,06-04-2019,1600,1800,1700
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,09-04-2019,1800,2000,1900
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,13-04-2019,2000,2300,2150
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,20-04-2019,1700,2000,1850
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,27-04-2019,1800,2200,2000
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,30-04-2019,1700,1800,1750
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,04-05-2019,1800,2400,2100
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,11-05-2019,1800,2000,1900
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,14-05-2019,2200,2400,2300
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,25-05-2019,1900,2400,2150
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,08-06-2019,1900,2200,2050
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,15-06-2019,1800,2300,2050
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,18-06-2019,1800,2000,1900
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,25-06-2019,1900,2000,1950
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,29-06-2019,1900,2200,2050
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,06-07-2019,1700,1900,1800
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,20-07-2019,1800,2200,2000
Maharashtra,Ahmednagar,Jamkhed,Wheat,Other,03-08-2019,1500,1900,1700
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,01-01-2019,1951,2150,2050
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,02-01-2019,1969,2100,2066
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,03-01-2019,2026,2427,2165
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,04-01-2019,2030,2276,2099
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,05-01-2019,2040,2300,2176
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,08-01-2019,2000,2380,2211
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,09-01-2019,2060,2361,2316
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,10-01-2019,2031,2366,2330
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,11-01-2019,2050,2320,2211
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,12-01-2019,2039,2299,2145
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,15-01-2019,1900,2070,2020
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,16-01-2019,1800,2361,2231
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,17-01-2019,2001,2267,2130
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,18-01-2019,1201,2450,2380
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,19-01-2019,1977,2223,2100
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,22-01-2019,1800,2300,2100
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,23-01-2019,1900,2311,2050
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,24-01-2019,1800,2409,2150
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,25-01-2019,1960,2350,2111
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,30-01-2019,1841,2312,2181
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,31-01-2019,2051,2302,2110
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,01-02-2019,1818,2375,2151
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,02-02-2019,1717,2351,2201
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,05-02-2019,1701,2300,2184
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,06-02-2019,1500,2300,2120
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,07-02-2019,1900,2210,2050
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,08-02-2019,1750,2346,2100
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,09-02-2019,1781,2324,2271
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,12-02-2019,1700,2300,2250
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,14-02-2019,1911,2245,2000
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,15-02-2019,1950,2371,2191
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,16-02-2019,1950,2131,2101
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,20-02-2019,1800,2100,2051
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,21-02-2019,1790,2367,2241
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,22-02-2019,1702,2300,2200
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,23-02-2019,1781,2378,2201
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,26-02-2019,1500,2100,2001
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,27-02-2019,1901,2291,2075
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,01-03-2019,1365,2271,2000
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,02-03-2019,1700,2091,1950
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,05-03-2019,1750,2057,2023
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,06-03-2019,1600,2000,1951
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,07-03-2019,1890,2121,2002
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,08-03-2019,1950,2121,2001
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,09-03-2019,1751,2083,1990
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,12-03-2019,1750,2031,2020
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,13-03-2019,1821,2100,2084
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,15-03-2019,1750,2223,2100
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,16-03-2019,1401,2017,2007
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,19-03-2019,1887,2224,2170
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,20-03-2019,1700,2101,1989
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,22-03-2019,1830,2162,1950
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,23-03-2019,1808,2125,1950
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,26-03-2019,1850,2212,2162
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,29-03-2019,1701,2262,2172
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,30-03-2019,1800,2240,1950
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,02-04-2019,1795,2211,2171
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,03-04-2019,1812,2230,1950
